week_start,actor_id,actor_name,event_count,state_based_event_count,non_state_event_count,one_sided_event_count,combat_event_count,combatant_fatalities,actor_deaths_suffered,civilian_fatalities,one_sided_civilian_fatalities,best_fatalities,low_fatalities,high_fatalities,active_location_count,one_sided_event_share
2025-07-21,__ALL__,All actors,7.0,6.0,0.0,1.0,6.0,3.0,,49.0,30.0,106.0,103.0,117.0,5.0,0.14285714285714285
2025-07-28,__ALL__,All actors,13.0,9.0,0.0,4.0,9.0,27.0,,45.0,21.0,77.0,74.0,146.0,9.0,0.3076923076923077
2025-08-04,__ALL__,All actors,14.0,6.0,0.0,8.0,6.0,407.0,,66.0,66.0,473.0,433.0,473.0,11.0,0.5714285714285714
2025-08-11,__ALL__,All actors,12.0,10.0,0.0,2.0,10.0,230.0,,96.0,13.0,343.0,330.0,343.0,7.0,0.16666666666666666
2025-08-18,__ALL__,All actors,8.0,6.0,0.0,2.0,6.0,26.0,,29.0,20.0,60.0,36.0,60.0,6.0,0.25
2025-08-25,__ALL__,All actors,10.0,10.0,0.0,0.0,10.0,35.0,,49.0,0.0,141.0,111.0,141.0,7.0,0.0
2025-09-01,__ALL__,All actors,6.0,6.0,0.0,0.0,6.0,2.0,,46.0,0.0,61.0,54.0,61.0,4.0,0.0
2025-09-08,__ALL__,All actors,16.0,12.0,0.0,4.0,12.0,32.0,,43.0,18.0,85.0,85.0,89.0,9.0,0.25
2025-09-15,__ALL__,All actors,11.0,8.0,0.0,3.0,8.0,218.0,,116.0,40.0,338.0,338.0,338.0,3.0,0.2727272727272727
2025-09-22,__ALL__,All actors,9.0,8.0,0.0,1.0,8.0,208.0,,26.0,3.0,241.0,239.0,243.0,4.0,0.1111111111111111
2025-09-29,__ALL__,All actors,9.0,8.0,0.0,1.0,8.0,10.0,,75.0,3.0,87.0,86.0,87.0,6.0,0.1111111111111111
2025-10-06,__ALL__,All actors,22.0,18.0,0.0,4.0,18.0,199.0,,145.0,12.0,344.0,296.0,344.0,14.0,0.18181818181818182
2025-10-13,__ALL__,All actors,21.0,19.0,0.0,2.0,19.0,159.0,,40.0,6.0,226.0,119.0,226.0,17.0,0.09523809523809523
2025-10-20,__ALL__,All actors,56.0,23.0,0.0,33.0,23.0,89.0,,59118.0,58746.0,59517.0,6011.0,74527.0,12.0,0.5892857142857143
2025-10-27,__ALL__,All actors,22.0,8.0,0.0,14.0,8.0,4.0,,1221.0,1194.0,1234.0,1231.0,1247.0,9.0,0.6363636363636364
2025-11-03,__ALL__,All actors,15.0,15.0,0.0,0.0,15.0,23.0,,74.0,0.0,163.0,163.0,163.0,7.0,0.0
2025-11-10,__ALL__,All actors,11.0,11.0,0.0,0.0,11.0,97.0,,22.0,0.0,119.0,119.0,119.0,7.0,0.0
2025-11-17,__ALL__,All actors,17.0,14.0,0.0,3.0,14.0,37.0,,8.0,8.0,45.0,45.0,47.0,11.0,0.17647058823529413
2025-11-24,__ALL__,All actors,10.0,8.0,0.0,2.0,8.0,216.0,,13.0,1.0,277.0,276.0,278.0,6.0,0.2
2025-12-01,__ALL__,All actors,6.0,6.0,0.0,0.0,6.0,109.0,,77.0,0.0,247.0,247.0,247.0,6.0,0.0
2025-12-08,__ALL__,All actors,11.0,9.0,0.0,2.0,9.0,26.0,,83.0,3.0,146.0,143.0,146.0,9.0,0.18181818181818182
2025-12-15,__ALL__,All actors,6.0,6.0,0.0,0.0,6.0,5.0,,19.0,0.0,53.0,53.0,53.0,5.0,0.0
2025-12-22,__ALL__,All actors,8.0,4.0,0.0,4.0,4.0,0.0,,208.0,200.0,223.0,223.0,231.0,8.0,0.5
2025-12-29,__ALL__,All actors,3.0,3.0,0.0,0.0,3.0,26.0,,3.0,0.0,101.0,101.0,101.0,2.0,0.0
2023-04-10,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-17,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-24,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-15,ucdp:1005,Ngok Dinka,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2023-05-22,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,ucdp:1005,Ngok Dinka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
